"Name","training_start_time","num_transformations","num_replacements","out_of_style_prob","State","Notes","User","Tags","Created","Runtime","augmentation_seed","batch_size","d_model","dataset_processed_time","dim_forward","dropout","epochs","grad_clip","hit_sigmoid_in_forward","learning_rate","loss_penalty","n_heads","n_layers","seed_examples_sets","test_data_size","torch_seed","training_data_size","epoch","grad_norm","hit_accuracy","hits_loss","offsets_loss","test_loss","training_loss","training_sample","velocities_loss"
"dutiful-sponge-139","1712659064","2","2","0","finished","-","","","2024-04-09T10:37:44.000Z","3693","42","16","128","1712659002","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6025","42","49737","50","2.209571123123169","0.91692054271698","0.6121830940246582","0.013201428577303886","3.502880990030911","0.7000877261161804","49152","0.07470320165157318"
"efficient-snow-138","1712658003","2","2","1","finished","-","","","2024-04-09T10:20:03.000Z","3848","42","16","128","1712657940","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6142","42","49824","50","1.7217631340026855","0.9108920693397522","0.6665878295898438","0.012299253605306149","3.528539284442862","0.8084415793418884","49152","0.12955453991889954"
"dashing-terrain-137","1712657947","2","2","0.5","finished","-","","","2024-04-09T10:19:07.000Z","3873","42","16","128","1712657884","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6129","42","49752","50","9.26694393157959","0.9204242825508118","1.261069416999817","0.015051227062940598","3.4833524444450936","1.410460114479065","49152","0.13433943688869476"
"misunderstood-glade-136","1712655477","1","4","1","finished","-","","","2024-04-09T09:37:57.000Z","2462","42","16","128","1712655434","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4068","42","33600","50","6.46042537689209","0.927150547504425","0.51637864112854","0.0054437508806586266","3.4654302671843884","0.5943496823310852","32768","0.07252725958824158"
"upbeat-resonance-135","1712654242","2","1","0.5","finished","-","","","2024-04-09T09:17:22.000Z","3641","42","16","128","1712654182","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6028","42","49642","50","1.6411689519882202","0.904922604560852","0.5465749502182007","0.015100518241524696","3.555041500997164","0.6696540713310242","49152","0.10797856748104095"
"sleek-microwave-134","1712654208","3","1","0","finished","-","","","2024-04-09T09:16:49.000Z","4791","42","16","128","1712654129","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","7937","42","65368","50","2.6517136096954346","0.9047269821166992","1.297956943511963","0.02746541053056717","3.5558801392914066","1.4845484495162964","61440","0.15912610292434692"
"serene-dawn-133","1712652982","1","2","1","finished","-","","","2024-04-09T08:56:22.000Z","2451","42","16","128","1712652941","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4108","42","33446","50","4.332907199859619","0.90944105386734","1.1169432401657104","0.017650101333856583","3.546294625167253","1.2410969734191897","32768","0.10650360584259032"
"rosy-violet-132","1712650512","2","4","0.5","finished","-","","","2024-04-09T08:15:13.000Z","3668","42","16","128","1712650379","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6155","42","50095","50","0.7074195146560669","0.9429281949996948","0.04113582521677017","0.0024371016770601273","3.3949677021472486","0.05073367059230805","49152","0.007160740904510021"
"different-butterfly-131","1712650447","2","4","0","finished","-","","","2024-04-09T08:14:07.000Z","3680","42","16","128","1712650308","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6072","42","50064","50","1.7999995946884155","0.9423303008079528","0.25449705123901367","0.004243859089910984","3.402968400403073","0.29375097155570984","49152","0.03501006215810776"
"vivid-sky-130","1712649199","2","4","1","finished","-","","","2024-04-09T07:53:19.000Z","3740","42","16","128","1712649135","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6100","42","50150","50","2.594118356704712","0.94375079870224","0.26513949036598206","0.003150457516312599","3.40309940145902","0.31703123450279236","49152","0.04874127358198166"
